City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,were ilu,10.6,39.43,60.12,46,11,2.04,ET,1579585291
275,yanam,16.73,82.22,82.4,65,20,13.87,IN,1579585291
276,tual,-5.67,132.75,83.93,77,22,16.37,ID,1579585292
277,ampanihy,-24.7,44.75,73.56,59,91,15.39,MG,1579585292
278,bjornevatn,69.67,29.98,28.4,68,67,26.4,NO,1579585292
279,ternate,0.8,127.4,81.45,80,57,0.49,ID,1579585293
280,muana,-1.53,-49.22,74.3,95,100,4.29,BR,1579585293
281,flinders,-34.58,150.86,90.0,47,36,10.29,AU,1579585293
282,honningsvag,70.98,25.97,35.6,69,75,19.46,NO,1579585294
283,oranjestad,12.52,-70.03,78.8,83,20,16.11,AW,1579585035
284,surt,31.21,16.59,50.43,69,0,13.18,LY,1579585294
285,inyonga,-6.72,32.07,72.61,77,83,6.89,TZ,1579585295
286,spas-demensk,54.41,34.02,34.92,90,100,14.27,RU,1579585295
287,kailua,21.4,-157.74,75.2,69,40,10.29,US,1579585295
288,ostrovnoy,68.05,39.51,28.15,96,100,10.98,RU,1579585296
289,victoria,22.29,114.16,79.0,60,20,17.22,HK,1579585148
290,houma,29.6,-90.72,44.6,60,1,9.17,US,1579585190
291,vigrestad,58.57,5.7,48.2,87,75,13.87,NO,1579585296
292,muroto,33.28,134.15,55.4,28,20,18.34,JP,1579585297
293,sillamae,59.4,27.75,41.45,85,96,23.02,EE,1579585297
294,henties bay,-22.12,14.28,64.99,90,0,1.99,NA,1579585297
295,vila do maio,15.13,-23.22,68.0,40,43,9.17,CV,1579585297
296,puerto carreno,6.19,-67.49,76.66,84,72,4.68,CO,1579585298
297,sijunjung,-0.69,100.95,83.61,67,50,4.0,ID,1579585298
298,lethem,3.38,-59.8,78.53,70,57,13.53,GY,1579585299
299,acajutla,13.59,-89.83,70.0,80,4,11.01,SV,1579585299
300,uruzgan,32.83,66.0,27.81,94,100,2.53,AF,1579585299
301,rawson,-43.3,-65.1,64.06,61,1,9.71,AR,1579585300
302,wajir,1.75,40.06,75.2,73,0,10.42,KE,1579585300
303,airai,-8.93,125.41,80.92,61,99,2.77,TL,1579585300
304,srednekolymsk,67.45,153.68,-19.86,96,100,11.9,RU,1579585108
305,brunehaut,50.52,3.38,35.01,100,90,2.24,FR,1579585301
306,kashi,39.45,75.98,24.8,58,100,4.47,CN,1579585166
307,tanda,26.55,82.65,66.61,49,76,0.89,IN,1579585302
308,houston,29.76,-95.36,48.99,43,20,3.36,US,1579585104
309,roshal,55.67,39.87,32.05,96,100,11.41,RU,1579585303
310,mertzig,49.83,6.01,30.2,86,0,10.29,LU,1579585304
